PovertyDataID,Country,year,PovertyRate,ChildPovertyRate,ElderlyPovertyRate,ChildrenByIncomeGroup,ChildrenPovertyRates_TwoParentFamilies,ChildrenPovertyRates_SingleMotherFamilies,ChildrenLivingSingleMotherFamilies,MedianEquivalizedIncome,MeanEquivalizedIncome
1,Australia,2018,12.574,13.049,25.607,16.176,8.767,36.049,14.715,53085.342,62167.117
2,Australia,2016,12.441,12.406,25.915,17.755,8.802,32.607,13.211,50521.209,59412.352
3,Australia,2014,12.465,11.423,26.495,17.2,7.815,29.926,14.214,49800.705,58480.935
4,Australia,2010,14.059,14.42,33.628,15.494,9.564,37.517,16.326,41951.257,49520.418
5,Australia,2008,14.235,12.845,37.151,14.832,7.922,36.909,15.731,40316.602,47253.08
6,Australia,2004,13.302,12.109,28.863,14.515,6.92,35.635,16.171,28860.14,32953.112
7,Australia,2003,12.504,13.887,22.531,13.799,9.228,34.443,15.906,25481.118,29303.787
8,Australia,2001,13.175,14.865,22.672,14.26,9.844,35.158,17.754,23815.022,27190.728
9,Australia,1995,11.57,13.196,21.799,13.216,9.839,33.945,13.177,18463.662,21010.167
10,Australia,1989,12.317,15.056,24.348,12.126,9.286,55.076,11.712,16561.535,18761.391
11,Australia,1985,11.914,13.953,24.647,10.666,9.348,61.614,8.419,12023.297,13328.234
12,Australia,1981,11.408,13.887,13.533,16.207,10.456,30.9515,30.9515,8873.881,9795.617
13,Austria,2019,9.981,12.902,10.467,11.163,11.383,27.424,8.078,29570.148,32760.906
14,Austria,2018,9.011,8.948,9.936,9.912,7.337,20.633,9.646,28379.603,31864.302
15,Austria,2017,9.302,11.434,9.834,11.518,9.501,28.577,9.242,27937.395,31062.697
16,Austria,2016,9.637,11.693,8.664,10.94,9.872,26.031,11.731,27655.228,30853.444
17,Austria,2015,8.642,9.766,8.093,9.918,8.052,21.233,12.303,26262.23,29060.28
18,Austria,2014,9.002,10.802,9.23,8.682,8.601,24.644,12.606,26109.359,28948.569
19,Austria,2013,8.805,10.1,9.913,10.008,7.03,26.863,15.376,25643.011,29070.302
20,Austria,2012,9.613,10.5,11.472,10.064,8.006,24.995,13.763,24892.658,27430.405
21,Austria,2011,8.935,9.108,10.504,11.422,6.819,22.198,12.23,24526.976,27540.357
22,Austria,2010,9.026,10.243,11.254,12.084,7.741,26.617,13.01,24034.175,27005.057
23,Austria,2009,9.793,11.193,12.1,12.206,8.811,26.881,11.974,23765.854,26690.025
24,Austria,2008,9.088,9.578,12.606,10.978,7.578,23.03,12.055,23110.905,25699.882
25,Austria,2007,9.732,10.121,13.962,10.929,7.485,25.765,12.104,21915.053,24572.942
26,Austria,2006,7.943,9.375,9.561,11.564,6.047,28.94,13.868,20455.378,22879.84
27,Austria,2005,7.621,8.326,11.139,10.071,6.244,22.627,12.238,20050.518,22135.124
28,Austria,2004,7.247,6.981,9.996,9.626,5.26,18.409,10.96,20251.559,22645.362
29,Austria,2003,8.146,8.375,12.191,10.089,6.683,20.179,12.775,19245.689,21152.053
30,Austria,2000,7.42,7.569,14.541,7.975,6.239,18.091,11.662,17125.25,18649.409
31,Austria,1999,7.021,5.357,14.436,9.423,3.903,17.124,11.246,16951.78,18857.205
32,Austria,1998,7.953,7.248,15.198,8.898,6.046,16.015,10.957,16308.503,18150.341
33,Austria,1997,8.688,10.73,12.203,9.943,8.409,28.458,12.017,16073.957,17361.097
34,Austria,1996,9.01,9.605,14.94,10.127,7.567,25.032,12.264,15950.621,17223.424
35,Austria,1995,8.686,9.465,13.927,11.272,7.425,26.8,10.779,15966.635,17661.444
36,Austria,1994,9.388,10.376,14.931,13.314,7.979,32.879,9.606,15854.905,17767.523
37,Austria,1987,11.779,13.887,13.533,16.207,10.456,30.9515,30.9515,23234.571,26881.689
38,Belgium,2017,10.367,13.17,8.69,12.056,8.878,37.254,14.334,26472.078,28153.367
39,Belgium,2016,9.711,12.262,8.082,14.09,7.187,36.521,15.734,25449.431,27303.666
40,Belgium,2015,9.906,11.214,9.738,14.827,6.478,38.041,14.057,25170.43,27105.916
41,Belgium,2014,9.182,10.92,8.234,14.205,7.408,31.62,14.587,24335.694,26310.539
42,Belgium,2013,9.676,12.386,8.155,12.992,8.748,31.063,15.274,24302.998,26227.672
43,Belgium,2012,10.067,11.883,9.837,12.459,7.655,33.08,14.927,24383.907,26234.524
44,Belgium,2011,9.663,11.056,11.095,13.55,8.058,28.82,14.537,22796.47,24536.712
45,Belgium,2010,10.111,13.588,11.224,12.698,8.781,37.899,15.534,22582.037,24179.326
46,Belgium,2009,9.875,13.004,12.246,13.763,8.565,35.595,15.52,22072.528,23813.222
47,Belgium,2008,9.47,11.59,12.64,11.899,7.635,34.813,14.062,21854.346,23594.205
48,Belgium,2007,9.338,10.272,14.039,13.408,5.231,38.431,13.829,20508.326,22500.679
49,Belgium,2006,10.133,10.956,16.892,13.023,6.921,33.535,14.132,19945.72,21660.614
50,Belgium,2005,9.212,9.321,15.75,14.218,6.216,27.016,14.093,19014.473,20857.133
51,Belgium,2004,8.388,9.423,13.057,13.955,6.672,26.863,13.741,18168.008,20091.552
52,Belgium,2003,9.494,10.756,13.342,12.19,7.62,29.495,14.473,17288.974,18608.249
53,Belgium,2000,8.111,7.326,14.831,15.217,5.175,26.55,10.307,16641.038,18712.084
54,Belgium,1997,8.126,7.681,11.853,12.816,7.205,10.094,8.874,14803.609,15987.784
55,Belgium,1995,8.963,8.074,17.472,12.25,7.033,18.549,9.397,14573.103,15800.93
56,Belgium,1992,5.357,4.236,11.884,10.297,3.383,13.792,8.532,11898.889,12687.999
57,Belgium,1988,4.925,3.596,10.774,11.421,3.198,8.939,4.907,9935.133,10679.132
58,Belgium,1985,4.601,3.506,10.78,11.448,2.483,18.062,5.414,9156.359,9784.898
59,Brazil,2016,21.511,34.081,5.201,18.42,31.05,45.008,20.889,15611.551,22602.425
60,Brazil,2013,19.038,29.67,5.972,18.334,26.954,40.624,19.908,13443.837,19502.094
61,Brazil,2011,19.751,30.316,6.081,19.12,27.862,40.387,18.779,10740.0,15861.459
62,Brazil,2009,20.194,30.657,6.099,19.389,28.245,40.573,19.602,8835.0,13438.99
63,Brazil,2006,20.775,30.913,6.076,20.617,29.676,36.332,18.466,6559.729,10535.517
64,Canada,2018,11.997,12.23,12.212,14.963,8.958,36.764,10.889,46150.101,52377.472
65,Canada,2017,12.231,11.885,12.575,16.118,9.153,33.286,10.741,44641.292,50946.185
66,Canada,2016,12.184,13.706,10.923,15.547,9.621,42.577,12.1,42796.916,48495.82
67,Canada,2015,14.136,15.294,11.946,16.236,12.166,38.569,10.67,42505.449,48258.832
68,Canada,2014,12.664,14.641,9.735,17.091,10.605,43.078,11.589,41274.282,47312.589
69,Canada,2013,13.688,17.841,8.984,16.313,13.66,43.991,12.399,40253.293,46131.656
70,Canada,2012,13.361,16.181,9.345,16.055,12.785,42.238,11.41,39445.965,44805.683
71,Canada,2011,12.204,14.459,9.581,16.028,10.222,38.887,13.343,38266.968,43705.515
72,Canada,2010,12.548,14.367,9.789,15.249,10.563,37.432,13.416,36712.222,42047.777
73,Canada,2009,12.795,14.991,9.015,16.024,11.194,35.248,14.584,35560.411,41081.949
74,Canada,2008,12.689,15.532,9.616,15.151,11.025,39.241,14.719,35399.192,40902.499
75,Canada,2007,12.148,15.361,8.119,15.583,10.278,43.043,14.631,34002.579,39235.726
76,Canada,2006,12.168,15.151,6.863,14.934,10.357,41.48,14.627,32007.291,36949.162
77,Canada,2005,12.868,16.227,7.909,15.125,10.743,45.444,14.801,31055.293,35470.316
78,Canada,2004,13.004,16.972,6.225,15.405,11.312,48.476,14.273,29430.052,33927.792
79,Canada,2003,12.882,16.397,6.541,15.025,10.536,47.888,14.28,28524.269,32567.776
80,Canada,2002,12.714,15.974,7.006,14.683,10.139,48.58,14.286,27765.0,31797.761
81,Canada,2001,12.266,15.728,5.91,14.75,11.212,41.771,13.983,26867.8,30959.95
82,Canada,2000,12.26,15.661,5.114,15.318,11.254,42.63,13.578,25222.499,29156.534
83,Canada,1999,11.981,15.045,4.498,13.69,9.997,43.025,14.163,24147.675,27534.827
84,Canada,1998,12.351,15.916,4.565,14.123,9.969,48.545,14.558,23234.571,26400.718
85,Canada,1997,12.161,16.074,3.719,13.97,9.871,51.734,13.968,22251.643,25210.644
86,Canada,1996,12.279,16.561,3.024,13.382,10.564,50.924,13.93,21730.351,24419.755
87,Canada,1994,11.352,15.574,4.919,11.537,10.053,46.77,14.097,22352.312,24737.231
88,Canada,1991,11.019,13.946,5.777,12.144,8.544,47.719,12.87,21569.981,23870.642
89,Canada,1987,11.41,13.969,10.778,11.493,9.781,51.278,9.547,17975.0,19752.174
90,Canada,1981,12.629,13.887,22.036,16.207,10.456,30.9515,30.9515,12658.373,13797.47
91,Canada,1975,14.309,14.437,34.762,12.558,10.441,56.01,8.471,6831.764,7382.241
92,Canada,1971,16.793,13.887,36.643,16.207,10.456,30.9515,30.9515,3910.0,4280.985
93,Chile,2017,16.006,20.142,19.299,22.88,15.221,32.585,28.119,4451130.16,6637897.829
94,Chile,2015,15.826,20.077,18.581,22.773,15.453,32.492,27.073,3989039.866,5899278.407
95,Chile,2013,15.97,20.546,17.697,22.443,16.208,32.608,27.021,3401680.257,5087673.828
96,Chile,2011,16.994,22.914,15.923,22.259,18.582,35.464,26.148,2747798.825,4140913.61
97,Chile,2009,16.825,21.365,15.474,23.215,17.9,33.572,22.012,2446977.533,3772904.838
98,Chile,2006,18.491,23.264,21.933,23.697,20.777,34.82,18.057,2064756.0,3125469.936
99,Chile,2003,19.351,24.789,17.989,24.288,22.881,34.367,15.908,1653239.233,2647248.203
100,Chile,2000,19.829,25.202,14.346,25.645,23.748,34.203,14.792,1479720.0,2484708.298
101,Chile,1998,20.702,25.962,20.856,24.914,24.814,33.199,15.25,1351568.753,2192213.274
102,Chile,1996,20.258,25.573,20.049,24.847,24.205,34.64,12.561,1145571.109,1853012.692
103,Chile,1994,20.974,26.402,23.228,25.528,25.203,34.487,14.161,887629.732,1419896.765
104,Chile,1992,18.694,23.893,17.942,25.132,22.793,31.529,14.054,618251.737,1016060.207
105,Chile,1990,19.545,25.41,15.205,24.099,24.239,33.502,13.806,373200.0,603714.348
106,China,2018,20.999,22.025,28.118,26.196,21.508,24.724,3.678,39994.279,50972.843
107,China,2013,19.998,20.935,28.213,24.355,20.226,27.376,2.913,26080.073,32812.787
108,China,2002,17.919,21.696,19.749,24.574,21.535,17.373,1.499,6752.009,9209.469
109,Colombia,2020,22.586,28.358,24.317,22.294,24.776,38.017,26.294,8106757.039,12400000.0
110,Colombia,2019,21.557,28.209,24.117,21.036,25.349,36.042,26.431,9085495.681,13300000.0
111,Colombia,2018,20.697,27.259,23.53,20.63,24.827,34.174,25.937,9030692.543,12900000.0
112,Colombia,2017,20.457,26.887,23.344,19.959,24.336,34.118,25.863,8721593.902,12300000.0
113,Colombia,2016,21.032,27.67,24.76,20.56,25.25,34.443,26.024,8355941.54,12000000.0
114,Colombia,2015,21.37,28.19,24.386,21.31,25.757,34.89,25.904,7803946.78,11300000.0
115,Colombia,2014,22.244,29.25,25.513,21.636,26.536,36.596,25.704,7303680.0,10900000.0
116,Colombia,2013,22.098,28.764,25.423,22.155,26.008,36.683,25.335,6808063.401,10200000.0
117,Colombia,2012,22.2,28.731,25.905,22.322,26.191,36.11,25.084,6383765.139,9599314.143
118,Colombia,2011,21.614,28.021,25.433,22.671,25.603,35.211,24.382,5947746.952,9254781.884
119,Colombia,2010,21.577,27.651,26.565,23.655,25.3,34.788,24.276,5319565.294,8545710.931
120,Colombia,2009,22.458,28.746,26.558,23.739,26.437,35.879,23.315,4902590.595,7798170.516
121,Colombia,2008,23.273,29.822,27.63,23.946,27.554,36.999,23.103,4594987.089,7475497.265
122,Colombia,2007,23.731,29.745,28.87,24.799,27.664,36.945,22.565,4122746.816,6917016.012
123,Colombia,2006,21.512,27.694,24.446,22.579,26.436,32.623,21.085,3706797.966,5801915.727
124,Colombia,2005,21.264,26.889,24.32,23.189,25.881,31.133,20.156,3495120.0,5616844.612
125,Colombia,2004,21.86,27.065,26.158,23.968,25.603,32.946,19.555,3086357.076,4943905.748
126,Colombia,2003,21.857,26.787,26.282,23.377,25.257,32.867,19.218,2952877.918,4592524.553
127,Colombia,2002,22.286,26.94,26.267,25.215,26.347,30.648,18.519,2632717.228,4314105.334
128,Colombia,2001,21.487,25.792,24.857,24.035,25.194,28.791,18.171,2568480.0,4024634.819
129,Cote D Ivoire,2015,25.329,27.277,28.326,29.347,23.815,39.482,19.097,506246.947,906861.651
130,Cote D Ivoire,2008,22.711,24.656,27.389,29.734,23.797,29.027,13.206,453868.237,762236.169
131,Cote D Ivoire,2002,24.413,25.473,26.36,31.254,23.904,35.348,13.608,354057.941,623884.945
132,Czech Rebuplic,2016,5.802,9.295,4.518,14.253,6.384,30.095,11.583,260361.199,290011.514
133,Czech Rebuplic,2013,5.972,10.592,2.984,13.96,7.389,32.176,12.213,228171.9,257817.841
134,Czech Rebuplic,2010,6.33,10.585,3.315,12.175,7.557,33.912,11.281,219942.718,245766.431
135,Czech Rebuplic,2007,5.396,8.73,3.976,11.198,4.921,34.745,12.13,195382.456,218021.011
136,Czech Rebuplic,2004,5.831,10.21,2.173,12.106,6.815,34.256,12.584,151462.03,174320.62
137,Czech Rebuplic,2002,4.229,6.974,1.894,11.391,3.914,23.727,15.358,136222.671,155245.785
138,Czech Rebuplic,1996,5.171,6.903,8.105,11.975,3.266,38.097,9.999,94600.0,107124.153
139,Czech Rebuplic,1992,2.425,2.294,5.656,8.574,1.113,13.231,9.188,51384.174,55468.083
140,Denmark,2016,6.148,4.251,3.944,12.911,2.879,8.365,16.732,246748.96,270063.449
141,Denmark,2013,5.672,3.583,4.0,12.434,2.346,7.938,16.847,236620.308,257583.749
142,Denmark,2010,6.32,4.485,6.594,10.831,3.072,10.778,16.898,230666.481,247974.96
143,Denmark,2007,6.343,4.652,9.757,8.558,3.3,10.682,15.447,212569.026,225049.637
144,Denmark,2004,5.635,3.874,8.465,8.015,2.908,7.897,15.774,192846.838,202850.425
145,Denmark,2000,5.415,2.739,12.034,7.632,1.945,6.103,14.324,169639.773,178266.552
146,Denmark,1995,5.211,2.728,11.372,6.635,2.066,5.526,15.027,143075.916,149665.608
147,Denmark,1992,7.419,5.636,11.327,7.37,3.375,16.133,14.722,126828.8,132447.167
148,Denmark,1987,10.285,5.306,31.652,11.817,4.029,9.517,12.288,111350.303,116403.587
149,Dominican Republic,2007,21.115,24.937,33.394,26.275,22.33,32.052,26.33,71252.07,114846.038
150,Egypt,2012,18.591,21.824,17.901,24.029,20.521,32.384,11.625,7136.046,11197.474
151,Estonia,2016,15.821,9.821,34.659,25.164,8.113,21.281,13.901,10724.936,12035.554
152,Estonia,2013,15.051,13.925,18.443,29.294,11.036,29.09,15.433,8074.768,9748.173
153,Estonia,2010,11.798,12.944,6.135,26.647,9.43,30.15,15.71,6326.306,7363.855
154,Estonia,2007,13.731,10.851,28.903,21.034,5.78,29.944,18.749,6297.329,7194.715
155,Estonia,2004,12.989,15.318,13.529,24.485,9.897,33.21,22.974,3515.78,4258.955
156,Estonia,2000,12.634,13.299,13.842,26.65,10.495,24.889,18.858,2323.771,2925.955
157,Finland,2016,5.81,3.373,4.881,12.598,1.645,13.276,11.292,26209.02,29227.961
158,Finland,2013,6.823,4.415,7.121,13.887,2.243,15.28,11.719,25890.697,28604.135
159,Finland,2010,7.213,3.722,9.695,13.378,2.477,11.747,10.4,24046.221,26529.38
160,Finland,2007,7.816,4.951,14.284,12.296,3.07,17.46,11.322,22296.713,24625.523
161,Finland,2004,6.622,4.008,10.324,12.286,2.495,12.872,12.821,19438.989,21538.198
162,Finland,2000,5.48,3.028,8.82,11.444,2.064,9.0,12.803,16357.967,17993.117
163,Finland,1995,4.128,2.001,5.554,9.529,1.462,4.911,11.047,13637.316,14637.58
164,Finland,1991,5.515,2.767,14.121,8.689,1.671,9.889,10.479,14218.718,14942.482
165,Finland,1987,5.143,3.22,12.061,8.856,1.813,13.327,10.224,10463.946,10881.737
166,France,2018,9.248,12.101,4.504,14.41,7.633,31.874,17.061,23290.0,26881.689
167,France,2017,8.978,11.668,4.068,13.895,7.292,32.032,16.227,22930.0,26340.939
168,France,2016,9.155,11.953,3.621,14.058,7.212,34.455,15.59,22590.0,25895.941
169,France,2015,8.983,11.957,3.411,14.038,7.536,33.488,15.475,22316.184,25813.389
170,France,2014,9.051,12.155,3.905,13.961,7.04,37.512,15.582,22174.882,25575.78
171,France,2013,8.818,12.066,3.941,14.097,7.809,32.636,15.215,22049.536,25518.726
172,France,2012,9.289,11.993,4.133,14.848,7.73,34.737,14.374,21771.879,25524.799
173,France,2011,9.11,11.362,4.755,15.635,7.141,34.243,14.535,21545.544,25371.222
174,France,2010,9.041,11.558,5.727,15.012,7.018,34.567,15.279,21228.343,24764.62
175,France,2009,8.773,10.564,5.119,14.922,6.739,32.371,14.061,20974.318,24234.927
176,France,2008,8.382,9.857,5.447,14.24,6.049,31.068,14.486,20878.108,24231.375
177,France,2007,8.345,9.691,5.398,14.46,6.045,31.189,13.686,19955.419,23092.217
178,France,2006,8.302,10.093,5.183,14.128,6.161,33.817,13.536,19405.212,22418.634
179,France,2005,8.347,9.914,4.931,14.071,6.457,32.244,12.548,18726.474,21618.659
180,France,2004,7.962,9.208,4.936,14.306,6.638,25.669,12.351,18250.0,21027.533
181,France,2003,8.124,9.936,4.445,14.149,6.906,29.207,12.67,17902.559,20598.205
182,France,2002,7.917,9.102,5.272,14.563,6.276,28.555,12.032,17599.888,20329.134
183,France,2001,8.092,9.727,4.52,14.202,7.186,28.453,11.6,16750.0,19374.01
184,France,2000,8.259,9.735,4.964,14.698,7.07,29.727,11.527,16112.545,18651.721
185,France,1999,8.288,9.407,4.825,14.223,6.961,28.36,11.115,15586.621,17944.292
186,France,1998,8.202,9.2,4.987,14.243,7.295,24.391,10.533,15323.444,17447.735
187,France,1997,8.716,9.701,4.731,14.634,7.763,25.247,10.539,14848.848,16912.432
